"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2020-01-01&before=2022-12-31&filename=Boysen%20Reservoir%20Dam%20and%20Powerplant%20Observed%20Daily%20Instantaneous%20Lake%2FReservoir%20Elevation%20ft%20%282020-01-01%20-%202022-12-31%29&itemId=196&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2024-02-06","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Boysen Reservoir Dam and Powerplant","WY","(-108.1769, 43.4)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.2","ft","daily","instant","2020-03-21 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.24","ft","daily","instant","2020-03-22 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.24","ft","daily","instant","2020-03-22 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.25","ft","daily","instant","2020-03-23 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.25","ft","daily","instant","2020-03-23 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.97","ft","daily","instant","2020-03-24 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.97","ft","daily","instant","2020-03-24 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.85","ft","daily","instant","2020-03-25 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.85","ft","daily","instant","2020-03-25 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.71","ft","daily","instant","2020-03-26 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.71","ft","daily","instant","2020-03-26 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.56","ft","daily","instant","2020-03-27 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.56","ft","daily","instant","2020-03-27 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.41","ft","daily","instant","2020-03-28 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.41","ft","daily","instant","2020-03-28 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.24","ft","daily","instant","2020-03-29 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.24","ft","daily","instant","2020-03-29 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.07","ft","daily","instant","2020-03-30 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.07","ft","daily","instant","2020-03-30 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4715.9","ft","daily","instant","2020-03-31 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4715.9","ft","daily","instant","2020-03-31 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4715.74","ft","daily","instant","2020-04-01 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4715.74","ft","daily","instant","2020-04-01 19:00:00"
