Site Name,Hog Park Reservoir-RTPD,,,,Date,6/30/2022,
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
11:10:41 AM,4.935592,11.24632,6.088006,20.59959,7.015836,86.36665,176.4458
11:10:43 AM,4.622812,11.70079,6.093255,20.91841,7.196388,90.29124,175.392
11:10:45 AM,4.587979,11.76258,6.093659,20.95515,7.218513,90.75707,175.2768
11:10:47 AM,4.201447,12.47106,6.069604,21.25948,7.33999,94.31166,175.1646
11:10:49 AM,3.871276,13.69422,6.055612,22.26316,7.483087,97.64449,175.2057
11:10:51 AM,3.828745,13.8308,6.053528,22.36656,7.500019,98.06184,175.2083
11:10:53 AM,3.669451,14.94554,6.053303,23.18954,7.767592,104.0524,173.6665
11:10:55 AM,3.644494,15.08899,6.052863,23.29964,7.796873,104.71,173.5263
11:10:57 AM,3.264036,16.11516,6.03512,23.00261,7.573346,105.9699,172.4764
11:10:59 AM,3.224693,16.24513,6.033542,23.00327,7.562455,106.2908,172.3266
11:11:01 AM,2.865896,17.83802,6.035803,22.19232,7.416096,106.2666,171.2345
11:11:03 AM,2.820372,18.01619,6.035368,22.10916,7.394944,106.3069,171.1005
11:11:05 AM,2.490363,18.58446,6.061027,21.91965,7.305611,105.7648,170.2577
11:11:07 AM,2.098849,19.04661,6.030175,21.83129,7.154849,104.5402,171.0765
11:11:09 AM,2.052208,19.10636,6.02812,21.81777,7.138034,104.4101,171.1261
11:11:11 AM,1.852656,19.3294,5.987768,21.99733,7.005471,102.941,173.4037
11:11:13 AM,1.821519,19.36438,5.982987,22.01093,6.988391,102.7662,173.64
11:11:15 AM,1.309082,19.51944,5.98565,21.95853,6.901119,102.1472,173.0036
11:11:17 AM,1.256783,19.54074,5.984491,21.96026,6.888805,102.0414,173.0266
11:11:19 AM,0.7240611,19.7992,5.938897,21.72973,6.831142,101.3847,175.3663
11:11:21 AM,0.6587875,19.82758,5.934986,21.70763,6.822892,101.3044,175.5487
11:11:23 AM,0.1193756,20.17778,5.92458,22.46222,6.73373,100.6842,177.1741
,,,,,,,
Site Name,Hog Park Reservoir RTPD,,,,Date,8/31/2022,
