Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Boysen Reservoir - TPD,,,,,,,,,
,,12,,20.6,8.72,652.8,8.32,109.9,125.3
,,13,,20.39,8.72,656.6,7.94,104.13,123.9
,,14,,20.18,8.73,661.96,7.56,98.97,121
,,15,,18.74,8.46,680.07,5.5,69.8,125.8
,,16,,16.8,8.17,719.12,2.89,34.7,131.9
,,,,,,,,,
,8/26/2020,0,950,22.64,8.93,637.44,7.82,107.89,95.6
,,0.5,,22.66,8.93,648.38,7.8,107.8,97.1
,,1,,22.65,8.93,654.73,7.8,107.7,98.5
,,1.5,,22.63,8.92,654.68,7.79,107.4,99.7
,,2,,22.61,8.91,654.93,7.78,107.27,101.4
,,2.5,,22.58,8.9,654.92,7.74,106.76,103.8
,,3,,22.57,8.87,654.94,7.71,106.23,106.9
,,4,,22.57,8.78,655.03,7.65,105.32,112.4
,,5,,22.56,8.68,655.11,7.56,104.06,121.6
,,6,,22.55,8.6,654.98,7.48,103.07,126
,,7,,22.56,8.58,655.03,7.45,102.67,128.4
,,8,,22.51,8.58,655.5,7.23,99.27,125.6
,,9,,21.93,8.66,662.8,5.05,68.61,113.7
,,10,,21.72,8.71,655.94,5.05,68.38,110.7
,,11,,21.64,8.76,647.99,5.25,71.08,108.4
,,12,,21.44,8.74,647.79,4.97,66.84,107.1
,,13,,21.06,8.62,654.92,3.87,51.43,108.2
,,14,,20.82,8.62,651.55,3.55,47.37,105.6
,,15,,20.49,8.5,654.84,2.51,32.83,106.8
,,,,,,,,,
,9/22/2020,0,930,17.49,8.5,477.63,8.07,99.8,108.8
,,0.5,,17.55,8.49,525.5,8.05,99.81,101
,,1,,17.53,8.48,525.18,8.03,99.48,101
,,1.5,,17.53,8.46,525.6,8.02,99.3,102.4
,,2,,17.55,8.45,525.55,8.02,99.46,104.2
,,2.5,,17.53,8.37,525.69,7.96,98.63,110.8
,,3,,17.53,8.38,525.63,8.01,99.32,110.4
,,4,,17.38,8.14,528.93,7.32,90.43,122.2
,,5,,17.32,8.07,529.45,7.11,87.68,124.9
,,6,,17.26,8.05,529.56,7.03,86.58,125.9
,,7,,17.24,8.15,529.48,7.04,86.7,119.5
,,8,,17.23,8.3,529.17,7.06,86.96,111.7
,,9,,17.22,8.39,528.93,7.07,87.01,108.1
,,10,,17.2,8.41,529.26,6.93,85.2,106.6
,,11,,17.11,8.49,525.42,7.07,86.79,103.7
,,12,,17.06,8.52,524.73,7.05,86.51,102
,,13,,17.02,8.56,524.55,7.11,87.16,100.2
,,14,,16.94,8.59,526.37,7.1,86.9,98.1
,,,,,,,,,
,10/13/2020,0,930,14.27,8.62,553.39,9.15,105.72,147.8
,,0.5,,14.34,8.61,551.99,9.12,105.63,149
,,1,,14.34,8.6,551.94,9.09,105.37,149.7
,,1.5,,14.37,8.56,551.72,9.1,105.42,152
,,2,,14.38,8.52,551.53,9.1,105.51,154.2
,,2.5,,14.37,8.49,551.87,9.09,105.36,155.5
,,3,,14.36,8.5,551.86,9.08,105.33,155.7
,,4,,14.36,8.45,552.09,9.09,105.3,161.3
,,5,,14.35,8.33,552.15,9.09,105.4,166.6
,,6,,14.35,8.32,552.14,9.1,105.43,167.2
,,7,,14.35,8.36,552.17,9.1,105.46,163.1
,,8,,14.35,8.49,552.27,9.11,105.57,156.8
,,9,,14.35,8.61,552.26,9.1,105.42,150
,,10,,14.35,8.71,552.39,9.09,105.41,145.2
,,11,,14.35,8.76,552.38,9.09,105.37,142.6
,,12,,14.35,8.81,552.44,9.1,105.41,140.2
,,13,,14.34,8.85,553.46,9.07,105.07,137.8
,,14,,14.15,8.87,570.59,8.62,99.34,136.3
,,,,,,,,,
,5/18/2021,0,,15.2,8.8,635.06,9.6,114.3,153.6
,,0.5,,14.8,8.7,601.46,9.8,115,159.5
,,1,,14.4,8.7,602.2,9.8,115.3,164.3
,,1.5,,14.2,8.6,602.43,9.9,114.9,168.1
,,2,,14.1,8.6,602.93,9.9,114.7,174.3
,,2.5,,14,8.4,603.44,9.9,114.6,182.7
,,3,,13.9,8.4,604.19,9.9,114.6,187.3
,,4,,13.8,8.4,605.48,9.8,113.4,185.4
,,5,,12.8,8.5,605.33,9.8,110.6,183.6
,,6,,12,8.6,609.9,9.8,108.2,178.5
,,7,,11.6,8.6,615.09,9.4,102.9,175.7
,,8,,11.3,8.7,607.49,9.5,103.3,173.4
,,9,,10.2,8.7,602.79,9.1,96.2,171.9
,,10,,9.7,8.7,603.84,8.8,92.2,169.9
,,11,,9.2,8.8,600.56,8.5,88.3,167.8
,,12,,9.2,8.8,600.62,8.4,87.5,165.4
,,13,,9.1,8.9,601.41,8.4,87.1,163.6
,,14,,9.1,8.9,601.98,8.3,86.5,142.5
,,,,,,,,,
,6/22/2021,16.233771,1257,14.2524,8.666478,565.2014,5.237466,61.03937,-38.19168
,,16.233601,,14.25365,8.666347,565.2065,5.23357,60.99561,-38.18773
,,16.233431,,14.25489,8.666215,565.2117,5.229673,60.95185,-38.18378
,,16.233251,,14.25614,8.666082,565.2169,5.225777,60.90809,-38.17983
,,15.950821,,14.2342,8.661268,565.4373,5.206587,60.65507,-38.08727
,,15.937761,,14.23373,8.661003,565.4475,5.204557,60.63076,-38.08197
,,15.924701,,14.23326,8.660739,565.4577,5.202528,60.60646,-38.07667
,,15.115661,,14.16607,8.631204,566.5227,5.194385,60.42334,-36.26434
,,15.073261,,14.16258,8.629761,566.5757,5.193637,60.41002,-36.17961
,,15.030861,,14.15908,8.628317,566.6288,5.192889,60.3967,-36.09488
