Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Boysen Reservoir - LPD,,,,,,,,,,
,,25.603042,,16.36046,8.395082,512.8199,4.584469,55.33323,-172.8049,
,,25.595132,,16.35927,8.399641,512.5302,4.582413,55.31072,-172.8819,
,,25.587222,,16.35809,8.404201,512.2405,4.580358,55.28821,-172.9589,
,,25.330692,,16.34761,8.412047,511.5066,4.554046,54.96254,-172.7086,
,,25.315452,,16.34635,8.413509,511.3817,4.552342,54.94333,-172.7245,
,,25.300202,,16.34509,8.414971,511.2568,4.550638,54.92412,-172.7403,
,,25.284962,,16.34382,8.416433,511.1319,4.548934,54.9049,-172.7561,
,,24.819102,,16.35567,8.43312,510.6296,4.531318,54.70243,-172.7829,
,,24.792322,,16.35596,8.434128,510.5858,4.529929,54.68602,-172.7804,
,,24.765532,,16.35625,8.435136,510.542,4.528539,54.6696,-172.778,
,,24.462502,,16.39844,8.447909,509.2475,4.510758,54.50138,-172.3126,
,,24.439082,,16.40062,8.448861,509.1741,4.509552,54.48923,-172.2916,
,,24.415652,,16.40281,8.449813,509.1007,4.508346,54.4771,-172.2706,
,,24.273222,,16.41928,8.454973,508.6562,4.528185,54.73704,-172.0275,
,,24.260362,,16.4209,8.455472,508.6093,4.528831,54.74673,-172.0065,
,,24.247512,,16.42252,8.455972,508.5625,4.529477,54.75643,-171.9855,
,,24.234652,,16.42413,8.456471,508.5157,4.530123,54.76612,-171.9644,
,,23.886032,,16.41025,8.464763,508.7628,4.55319,55.02875,-171.3474,
,,23.866822,,16.40999,8.465261,508.764,4.554674,55.04641,-171.3137,
,,23.847602,,16.40972,8.465757,508.7652,4.556159,55.06406,-171.28,
,,23.509212,,16.40623,8.476923,508.3953,4.594749,55.52574,-170.9457,
,,23.486142,,16.40583,8.477626,508.3811,4.597057,55.55314,-170.9178,
,,23.463072,,16.40544,8.478329,508.3669,4.599365,55.58054,-170.8898,
,,23.440002,,16.40504,8.479032,508.3527,4.601674,55.60794,-170.8618,
,,23.300082,,16.41509,8.485938,507.2426,4.649367,56.19554,-170.6787,
,,23.286362,,16.41549,8.486495,507.1835,4.652392,56.23251,-170.663,
,,23.272652,,16.41588,8.487053,507.1245,4.655417,56.26949,-170.6472,
,,22.938532,,16.4139,8.502669,507.9064,4.687518,56.65528,-170.6898,
,,22.919622,,16.414,8.503553,507.9221,4.689989,56.68526,-170.6879,
,,22.900722,,16.41409,8.504438,507.9378,4.692461,56.71523,-170.6859,
,,22.881812,,16.41418,8.505322,507.9535,4.694932,56.7452,-170.684,
,,22.618102,,16.44406,8.517088,507.4187,4.75618,57.52379,-170.4866,
,,22.598662,,16.44543,8.517969,507.4085,4.759768,57.56892,-170.4779,
,,22.579232,,16.44681,8.51885,507.3983,4.763355,57.61405,-170.4692,
,,22.434512,,16.46346,8.524586,506.8815,4.816286,58.27304,-170.5995,
,,22.422212,,16.46483,8.525103,506.8471,4.819996,58.31955,-170.6013,
,,22.409922,,16.4662,8.525619,506.8127,4.823706,58.36605,-170.6032,
,,22.155222,,16.46565,8.53111,506.9689,4.845387,58.62774,-170.6275,
,,22.139792,,16.46593,8.531494,506.9674,4.847444,58.65294,-170.631,
,,22.124372,,16.46622,8.531878,506.9659,4.849501,58.67815,-170.6344,
,,22.108942,,16.4665,8.532263,506.9644,4.851558,58.70335,-170.6379,
,,21.790752,,16.47763,8.534681,506.903,4.887673,59.15436,-170.8358,
,,21.770332,,16.47814,8.534914,506.9034,4.889835,59.18118,-170.8455,
,,21.749902,,16.47865,8.535147,506.9039,4.891998,59.20799,-170.8553,
,,21.626692,,16.46586,8.534384,506.8591,4.920439,59.53408,-170.5137,
,,21.614382,,16.46547,8.5344,506.8558,4.92253,59.5588,-170.5013,
,,21.602072,,16.46507,8.534416,506.8524,4.924621,59.58351,-170.4889,
,,21.589752,,16.46468,8.534432,506.8491,4.926712,59.60823,-170.4764,
,,21.292752,,16.44674,8.532607,507.1327,4.94057,59.75321,-169.7903,
,,21.276362,,16.44566,8.532512,507.1447,4.94182,59.76694,-169.7521,
,,21.259972,,16.44459,8.532416,507.1568,4.94307,59.78067,-169.7139,
,,20.922052,,16.46837,8.527672,507.0052,4.957394,59.98484,-169.0688,
,,20.900122,,16.46918,8.527411,507.0031,4.95837,59.99771,-169.025,
,,20.878182,,16.46999,8.527149,507.0011,4.959346,60.01057,-168.9811,
,,20.698422,,16.46589,8.525199,507.0809,4.977859,60.2299,-168.6279,
,,20.683152,,16.46615,8.525012,507.0817,4.979045,60.24462,-168.5983,
,,20.667872,,16.46642,8.524825,507.0826,4.980231,60.25935,-168.5686,
,,20.652602,,16.46669,8.524637,507.0834,4.981417,60.27407,-168.539,
,,20.309962,,16.45821,8.518167,507.2966,4.988963,60.3546,-167.6872,
,,20.289862,,16.45774,8.517818,507.3084,4.989709,60.36303,-167.6392,
,,20.269752,,16.45725,8.517469,507.3201,4.990456,60.37146,-167.5912,
,,19.933472,,16.45293,8.50712,507.0021,5.001523,60.50027,-166.7585,
,,19.910242,,16.45256,8.506487,506.9907,5.00222,60.50826,-166.701,
,,19.887012,,16.45219,8.505855,506.9794,5.002916,60.51624,-166.6435,
,,19.863782,,16.45182,8.505222,506.968,5.003613,60.52422,-166.586,
,,19.711792,,16.4414,8.497814,507.408,5.009229,60.57954,-166.2968,
,,19.697442,,16.44082,8.49725,507.4218,5.009729,60.5849,-166.2653,
,,19.683092,,16.44024,8.496685,507.4355,5.01023,60.59026,-166.2338,
,,19.385392,,16.44777,8.490768,507.2626,5.012376,60.62584,-165.5152,
,,19.367852,,16.44793,8.490335,507.2625,5.012596,60.62872,-165.4743,
,,19.350312,,16.44808,8.489901,507.2624,5.012815,60.6316,-165.4335,
,,19.064292,,16.48228,8.486329,506.5953,5.00994,60.63951,-164.8766,
,,19.044482,,16.48411,8.48604,506.559,5.009841,60.6406,-164.8353,
,,19.024672,,16.48593,8.48575,506.5227,5.009743,60.64169,-164.794,
,,19.004862,,16.48776,8.485461,506.4864,5.009644,60.64277,-164.7527,
,,18.870032,,16.49859,8.483863,506.4716,5.027452,60.87483,-164.3598,
,,18.857582,,16.49981,8.48371,506.4571,5.028252,60.88619,-164.3292,
,,18.845132,,16.50104,8.483559,506.4426,5.029052,60.89755,-164.2987,
,,18.576142,,16.48512,8.478835,506.4795,5.043196,61.16121,-163.6329,
,,18.560152,,16.48457,8.47857,506.4807,5.044242,61.17874,-163.5923,
,,18.544162,,16.48402,8.478305,506.4821,5.045289,61.19627,-163.5515,
,,18.528182,,16.48347,8.47804,506.4833,5.046336,61.21379,-163.5108,
,,18.227942,,16.49626,8.477875,506.0436,5.072192,61.42697,-162.7328,
,,18.207882,,16.49655,8.477765,506.0234,5.07373,61.44282,-162.6814,
,,18.187822,,16.49683,8.477656,506.0033,5.075267,61.45868,-162.6301,
,,17.905032,,16.49581,8.475636,505.8873,5.106829,61.8353,-161.86,
,,17.885322,,16.49601,8.475532,505.873,5.108863,61.85775,-161.8072,
,,17.865602,,16.49621,8.475428,505.8586,5.110898,61.8802,-161.7543,
,,17.716192,,16.48594,8.469149,505.6893,5.150797,62.35174,-161.4162,
,,17.703472,,16.48543,8.46881,505.6789,5.15331,62.38152,-161.3849,
,,17.690752,,16.48492,8.468472,505.6685,5.155823,62.4113,-161.3535,
,,17.678042,,16.48442,8.468134,505.6581,5.158336,62.44107,-161.3222,
,,17.331622,,16.48679,8.459918,505.7606,5.169092,62.57435,-160.6053,
,,17.312092,,16.4867,8.459403,505.7621,5.170393,62.59002,-160.5642,
,,17.292552,,16.48662,8.458889,505.7635,5.171695,62.60568,-160.5232,
,,16.970982,,16.49345,8.451596,505.5447,5.201731,62.97598,-159.5201,
,,16.948792,,16.49383,8.451088,505.5363,5.203376,62.99627,-159.458,
,,16.926592,,16.4942,8.450579,505.5279,5.205021,63.01657,-159.3959,
,,16.904392,,16.49458,8.45007,505.5194,5.206666,63.03687,-159.3338,
,,16.759462,,16.48721,8.446728,505.7664,5.238852,63.41724,-159.1546,
,,16.745852,,16.48699,8.446416,505.7741,5.241019,63.44316,-159.1256,
,,16.732242,,16.48677,8.446104,505.7818,5.243186,63.46909,-159.0966,
,,16.387692,,16.49379,8.438977,505.4086,5.254932,63.62075,-158.2267,
,,16.367992,,16.49398,8.438561,505.3958,5.256171,63.63601,-158.1808,
,,16.348282,,16.49417,8.438147,505.3831,5.25741,63.65127,-158.1349,
,,16.328582,,16.49435,8.437731,505.3703,5.258649,63.66653,-158.0891,
,,15.978582,,16.50205,8.427637,505.4875,5.281603,63.95559,-157.5502,
,,15.955152,,16.50254,8.427022,505.4853,5.282944,63.97252,-157.507,
,,15.931722,,16.50303,8.426406,505.4832,5.284286,63.98946,-157.4638,
,,15.638302,,16.50966,8.422191,505.5951,5.301576,64.20789,-156.9968,
,,15.617362,,16.51013,8.421791,505.6024,5.302859,64.22408,-156.9636,
,,15.596422,,16.51059,8.421392,505.6098,5.304143,64.24027,-156.9304,
,,15.441672,,16.52179,8.412876,505.8694,5.312596,64.35747,-156.5953,
,,15.428592,,16.52245,8.412392,505.8837,5.313332,64.36727,-156.5702,
,,15.415502,,16.52311,8.411907,505.898,5.314068,64.37707,-156.545,
,,15.402422,,16.52377,8.411422,505.9124,5.314805,64.38686,-156.5199,
,,15.011912,,16.5344,8.398222,505.4956,5.308699,64.32726,-155.6408,
,,14.990132,,16.53513,8.397425,505.4808,5.308578,64.32677,-155.5921,
,,14.968352,,16.53586,8.396627,505.4659,5.308457,64.32628,-155.5434,
,,14.577992,,16.54172,8.387379,505.4368,5.299893,64.22976,-154.7897,
,,14.551192,,16.54221,8.386669,505.4272,5.299357,64.2239,-154.7355,
,,14.524392,,16.5427,8.385959,505.4175,5.29882,64.21804,-154.6814,
,,14.497592,,16.5432,8.385248,505.4079,5.298285,64.21217,-154.6272,
,,14.335162,,16.53133,8.380763,505.557,5.291811,64.11561,-154.0697,
,,14.319022,,16.5309,8.380348,505.5632,5.291322,64.10898,-154.0269,
,,14.302882,,16.53047,8.379933,505.5693,5.290833,64.10236,-153.9842,
,,14.002102,,16.55262,8.367907,505.245,5.285134,64.06339,-153.2123,
,,13.984232,,16.55344,8.367237,505.2324,5.284728,64.05953,-153.1639,
,,13.966352,,16.55426,8.366568,505.2198,5.284321,64.05568,-153.1154,
,,13.948472,,16.55508,8.365898,505.2073,5.283915,64.05183,-153.067,
,,13.668902,,16.55726,8.351161,506.3237,5.276366,63.96486,-152.4262,
,,13.649672,,16.5578,8.350232,506.3687,5.275894,63.95995,-152.3803,
,,13.630452,,16.55834,8.349303,506.4136,5.275423,63.95504,-152.3344,
,,13.348422,,16.54916,8.344217,506.1942,5.251565,63.65468,-151.5095,
,,13.329442,,16.54877,8.343686,506.205,5.250281,63.63867,-151.4574,
,,13.310472,,16.54838,8.343155,506.2157,5.248997,63.62267,-151.4053,
,,13.117652,,16.53289,8.330955,508.0043,5.212547,63.16107,-151.1318,
,,13.102932,,16.53198,8.330271,508.0855,5.210338,63.13314,-151.1026,
,,13.088212,,16.53106,8.329588,508.1667,5.208129,63.10521,-151.0735,
,,13.073492,,16.53015,8.328904,508.248,5.205921,63.07728,-151.0444,
,,12.750712,,16.55252,8.319992,506.7971,5.178642,62.77638,-150.3865,
,,12.731282,,16.55328,8.31932,506.7629,5.176602,62.75269,-150.3492,
,,12.711862,,16.55405,8.318647,506.7287,5.174562,62.72899,-150.3119,
,,12.344662,,16.55322,8.316684,509.0186,5.139452,62.30143,-149.7275,
,,12.320292,,16.55363,8.31641,509.1011,5.137195,62.27457,-149.6857,
,,12.295932,,16.55403,8.316135,509.1836,5.134938,62.2477,-149.644,
,,12.271562,,16.55443,8.315862,509.266,5.132681,62.22083,-149.6022,
,,12.145382,,16.55396,8.303608,508.9881,5.101809,61.8464,-149.3155,
,,12.131512,,16.55393,8.302988,509.0223,5.099608,61.81969,-149.2894,
,,12.117652,,16.55391,8.302368,509.0565,5.097408,61.79299,-149.2632,
,,11.803302,,16.55773,8.294584,507.0724,5.087671,61.67974,-148.3141,
,,11.785612,,16.55791,8.293975,506.9744,5.086577,61.66671,-148.2631,
,,11.767932,,16.55809,8.293365,506.8763,5.085483,61.65368,-148.2121,
,,11.480042,,16.56014,8.283524,505.7287,5.070302,61.47152,-147.5411,
,,11.459952,,16.56032,8.282896,505.6358,5.069371,61.46042,-147.4903,
,,11.439862,,16.56049,8.282269,505.543,5.06844,61.44932,-147.4395,
,,11.419772,,16.56066,8.281642,505.4501,5.06751,61.43822,-147.3886,
,,11.297532,,16.56665,8.278106,505.4705,5.061637,61.37358,-147.266,
,,11.285762,,16.56698,8.277734,505.4479,5.061043,61.36673,-147.2464,
,,11.274002,,16.56731,8.277362,505.4253,5.060449,61.35989,-147.2267,
,,10.883862,,16.58511,8.263261,504.825,5.05456,61.32122,-146.2875,
,,10.862152,,16.5861,8.262495,504.7952,5.054151,61.31799,-146.2385,
,,10.840442,,16.58709,8.261728,504.7654,5.053741,61.31476,-146.1896,
,,10.818732,,16.58809,8.260962,504.7357,5.053331,61.31153,-146.1406,
,,10.404892,,16.58684,8.248038,507.1244,5.059092,61.37207,-145.5943,
,,10.377032,,16.58717,8.247128,507.2236,5.05923,61.37402,-145.5484,
,,10.349172,,16.58749,8.246217,507.3228,5.05937,61.37597,-145.5026,
,,10.068632,,16.57334,8.244602,507.8559,5.057342,61.33163,-144.9548,
,,10.046902,,16.57267,8.244259,507.9275,5.057352,61.33068,-144.9174,
,,10.025182,,16.57199,8.243916,507.9991,5.057363,61.32972,-144.8801,
,,10.003452,,16.57132,8.243572,508.0706,5.057373,61.32876,-144.8427,
,,9.875862,,16.57785,8.234206,505.2007,5.0452,61.19114,-144.6628,
,,9.863872,,16.57788,8.233727,505.0811,5.044602,61.18395,-144.6428,
,,9.851882,,16.5779,8.233249,504.9616,5.044004,61.17676,-144.6227,
,,9.536302,,16.58016,8.225125,505.0079,5.037466,61.10044,-143.9733,
,,9.518432,,16.58038,8.224552,504.9571,5.036922,61.09417,-143.9382,
,,9.500562,,16.58061,8.223978,504.9062,5.03638,61.08791,-143.9031,
,,9.166632,,16.5811,8.216185,505.4026,5.034035,61.06143,-143.0391,
,,9.144112,,16.58117,8.215647,505.4285,5.033794,61.05866,-142.9841,
,,9.121602,,16.58123,8.215109,505.4543,5.033554,61.05589,-142.9291,
,,9.099082,,16.5813,8.21457,505.4801,5.033314,61.05313,-142.8741,
,,8.967372,,16.58031,8.212685,506.9059,5.043595,61.17655,-142.6718,
,,8.953982,,16.58028,8.212428,506.9847,5.044038,61.1819,-142.6438,
,,8.940582,,16.58024,8.212173,507.0636,5.044481,61.18726,-142.6159,
,,8.620842,,16.58247,8.206225,505.1841,5.046633,61.21611,-142.0085,
,,8.602852,,16.58256,8.2059,505.1252,5.046941,61.21996,-141.9752,
,,8.584862,,16.58264,8.205576,505.0663,5.047249,61.2238,-141.9419,
,,8.566862,,16.58273,8.205251,505.0074,5.047557,61.22763,-141.9086,
,,8.178482,,16.58304,8.204934,505.4256,5.056685,61.33632,-141.5578,
,,8.153552,,16.5831,8.204798,505.4099,5.05717,61.34216,-141.5287,
,,8.128632,,16.58315,8.20466,505.3942,5.057655,61.348,-141.4997,
,,7.693312,,16.57332,8.196053,505.4791,5.050714,61.25167,-140.3448,
,,7.665062,,16.57287,8.195642,505.4915,5.050581,61.24944,-140.2837,
,,7.636812,,16.57242,8.195232,505.504,5.050447,61.24721,-140.2226,
,,7.410442,,16.56659,8.182642,505.1286,5.049706,61.23003,-139.9672,
,,7.391302,,16.56613,8.181871,505.1117,5.049543,61.22744,-139.9333,
,,7.372172,,16.56566,8.181101,505.0948,5.049381,61.22485,-139.8994,
,,7.353032,,16.5652,8.18033,505.0779,5.049219,61.22227,-139.8656,
,,6.958982,,16.58058,8.168893,504.8111,5.046392,61.2079,-138.9522,
,,6.935472,,16.58121,8.16809,504.7907,5.046243,61.20689,-138.9032,
,,6.911962,,16.58183,8.167287,504.7704,5.046094,61.20588,-138.8542,
,,6.565232,,16.5752,8.16026,505.6183,5.056745,61.32653,-137.9278,
,,6.540362,,16.57518,8.159687,505.6545,5.057207,61.33212,-137.8642,
,,6.515492,,16.57516,8.159114,505.6906,5.05767,61.33771,-137.8005,
,,6.490622,,16.57514,8.158542,505.7267,5.058133,61.3433,-137.7368,
,,6.272812,,16.58129,8.147164,505.995,5.059624,61.37066,-137.483,
,,6.254762,,16.58146,8.146461,506.0254,5.059916,61.37449,-137.4506,
,,6.236712,,16.58162,8.145758,506.0558,5.060208,61.37831,-137.4183,
,,5.838262,,16.57543,8.136498,505.627,5.065929,61.43965,-136.5965,
,,5.814352,,16.57526,8.135813,505.6126,5.066239,61.44322,-136.551,
,,5.790442,,16.57509,8.135128,505.5983,5.06655,61.4468,-136.5055,
,,5.454462,,16.57344,8.132117,505.2028,5.066181,61.44131,-135.7315,
,,5.430262,,16.57325,8.131783,505.1757,5.066279,61.4423,-135.6777,
,,5.406052,,16.57305,8.131449,505.1487,5.066378,61.44329,-135.6239,
,,5.381852,,16.57285,8.131115,505.1216,5.066476,61.44427,-135.5702,
,,5.216762,,16.5806,8.120944,505.0331,5.068869,61.48096,-135.2962,
,,5.202042,,16.58092,8.120408,505.0208,5.068974,61.48257,-135.2673,
,,5.187332,,16.58125,8.119871,505.0085,5.06908,61.48419,-135.2384,
,,4.856492,,16.57732,8.108222,507.7662,5.071153,61.54854,-134.3171,
,,4.837042,,16.57727,8.107461,507.8995,5.0713,61.55239,-134.2665,
,,4.817602,,16.57722,8.1067,508.0328,5.071447,61.55623,-134.2159,
,,4.798152,,16.57716,8.105939,508.1661,5.071595,61.56008,-134.1652,
,,4.398772,,16.57417,8.097329,506.3173,5.075888,61.5652,-133.2597,
,,4.372882,,16.57394,8.096676,506.2883,5.076135,61.5668,-133.1974,
,,4.346992,,16.57372,8.096022,506.2592,5.076381,61.56841,-133.1351,
,,4.040862,,16.56431,8.091682,508.3287,5.083036,61.63685,-132.3034,
,,4.018222,,16.5638,8.091295,508.3916,5.083437,61.64024,-132.2454,
,,3.995582,,16.5633,8.090909,508.4546,5.083838,61.64362,-132.1875,
,,3.972932,,16.5628,8.090522,508.5175,5.084239,61.64701,-132.1296,
,,3.806622,,16.57833,8.084948,506.1761,5.085564,61.6845,-131.8495,
,,3.792212,,16.57887,8.084587,506.1069,5.085764,61.68765,-131.8186,
,,3.777802,,16.5794,8.084228,506.0377,5.085965,61.69081,-131.7876,
,,3.359142,,16.587,8.072149,505.4,5.081857,61.65081,-130.8095,
,,3.336062,,16.58766,8.071472,505.3239,5.081698,61.64975,-130.7577,
,,3.312982,,16.58831,8.070794,505.248,5.08154,61.64867,-130.7059,
,,2.888032,,16.5813,8.058218,506.9574,5.092328,61.76948,-129.579,
,,2.859482,,16.58109,8.05738,507.0293,5.092781,61.77466,-129.5058,
,,2.830922,,16.58089,8.056541,507.1011,5.093234,61.77985,-129.4325,
,,2.802372,,16.58069,8.055703,507.1729,5.093687,61.78503,-129.3593,
,,2.610422,,16.57603,8.047221,505.4282,5.100226,61.86044,-128.9819,
,,2.592602,,16.57567,8.046561,505.3812,5.100758,61.86649,-128.9408,
,,2.574782,,16.5753,8.045902,505.3342,5.101289,61.87255,-128.8998,
,,2.175362,,16.57439,8.055002,506.8955,5.102291,61.88391,-127.7911,
,,2.151782,,16.57426,8.055283,506.9396,5.102468,61.88594,-127.7287,
,,2.128202,,16.57413,8.055563,506.9836,5.102644,61.88796,-127.6663,
,,2.104622,,16.57399,8.055843,507.0276,5.102821,61.88999,-127.6039,
,,1.789492,,16.57779,8.048359,505.3262,5.093992,61.78561,-127.2108,
,,1.766102,,16.57795,8.048202,505.2804,5.093609,61.78106,-127.1684,
,,1.742712,,16.5781,8.048044,505.2345,5.093225,61.77652,-127.1259,
,,1.368072,,16.58631,8.047752,506.3188,5.085867,61.69757,-126.8049,
,,1.343552,,16.58677,8.0476,506.3392,5.085347,61.69181,-126.7807,
,,1.319032,,16.58724,8.047448,506.3596,5.084827,61.68605,-126.7565,
,,1.110992,,16.58821,8.033581,507.0498,5.070042,61.50782,-127.5759,
,,1.093342,,16.58842,8.032898,507.1058,5.069172,61.49754,-127.6096,
,,1.075692,,16.58863,8.032214,507.1617,5.068303,61.48725,-127.6433,
,,1.058042,,16.58884,8.031531,507.2176,5.067433,61.47696,-127.677,
,,0.721017,,16.57869,8.013092,509.0403,5.074543,61.54991,-125.9274,
,,0.700877,,16.57824,8.011947,509.1393,5.074555,61.54947,-125.8638,
,,0.680736,,16.5778,8.010802,509.2384,5.074567,61.54903,-125.8002,
,,0.262031,,16.57846,8.003636,510.0765,5.080198,61.61964,-124.4807,
,,0.235123,,16.57831,8.002939,510.1518,5.080595,61.62433,-124.3842,
,,0.208214,,16.57816,8.002242,510.2271,5.080992,61.62902,-124.2877,
,,0.181306,,16.57801,8.001545,510.3025,5.081389,61.63371,-124.1912,
,,0,,16.56861,7.986009,510.8549,5.076244,61.55891,-123.4885,
