Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,
Boysen Reservoir - RPD,,,,,,,,,,,
,,1,,20.72,8.63,453.6,8.83,117.1,229.8,,
,,1.5,,20.54,8.61,454.8,8.75,115.7,230.5,,
,,2,,20.45,8.6,455.5,8.7,114.9,231.1,,
,,2.5,,19.97,8.7,417.1,9.18,120.1,230.7,,
,,3,,19.68,8.69,413.4,9.17,119,232.5,,
,,4,,19.28,8.49,428.3,8.74,112.6,240.7,,
,,5,,18.46,8.07,439.2,7.64,96.6,256.5,,
,,6,,18.27,8.02,447.5,7.48,94.3,258.1,,
,,7,,18,7.98,454,7.24,90.9,257.7,,
,,8,,17.78,8.23,451.9,6.88,86.1,240.2,,
,,9,,17.7,8.32,453.8,6.08,83.3,237.1,,
,,10,,16.62,8.18,443.7,5.13,63.4,237,,
,,11,,16.18,8.04,463.1,4.07,48.6,181.7,,
,,,,,,,,,,,
,7/15/2020,0,1050,21.77,8.51,607.23,8.21,110.25,160.9,,
,,0.5,,21.16,8.51,603.24,8.21,109.42,157.3,,
,,1,,20.95,8.5,596.58,8.11,108.11,155.7,,
,,1.5,,20.96,8.51,605.56,8.2,109.49,154.5,,
,,2,,21.02,8.51,598.01,8.11,107.99,154.5,,
,,2.5,,20.86,8.45,587.05,7.93,105.19,154.8,,
,,3,,20.77,8.39,585.26,7.83,103.94,157.5,,
,,4,,20.68,8.28,584.7,7.76,102.79,166.9,,
,,5,,20.6,8.1,589.5,7.63,100.71,177.2,,
,,6,,20.56,8.01,600.81,7.94,105.01,177.7,,
,,7,,20.59,8.45,619.6,8.06,106.39,154.3,,
,,8,,20.5,8.5,608.36,7.98,106.14,148.9,,
,,9,,20.43,8.53,603.46,7.81,102.82,148.1,,
,,10,,20.41,8.58,606.73,7.78,102.42,143.3,,
,,11,,20.4,8.65,605.4,7.75,101.93,140.8,,
,,11.7,,20.27,8.62,597.8,7.39,97,121.4,,
,,,,,,,,,,,
,8/26/2020,0,1015,22.81,8.99,688.52,8.7,120.52,97.7,,
,,0.5,,22.84,8.98,687.47,8.7,120.57,100.8,,
,,1,,22.61,8.95,672.54,8.5,117.18,103.2,,
,,1.5,,22.56,8.94,673.28,8.33,114.73,107.5,,
,,2,,22.52,8.92,673.55,8.04,110.74,107.7,,
,,2.5,,22.51,8.9,673.66,7.92,108.8,109.4,,
,,3,,22.49,8.88,673.7,7.81,107.37,110.7,,
,,4,,22.47,8.82,673.37,7.72,106.19,117.6,,
,,5,,22.43,8.76,671.69,7.52,103.3,117.6,,
,,6,,22.3,8.65,665.8,6.97,95.48,127.9,,
,,7,,22.02,8.47,673.03,6.15,83.83,134.8,,
,,8,,21.9,8.36,684.16,5.38,73.28,134.8,,
,,9,,21.65,8.25,685.68,3.61,48.26,133.1,,
,,10,,21.35,8.35,699.7,2.61,34.99,122.4,,
,,,,,,,,,,,
,9/22/2020,0,1005,16.89,8.52,539.78,7.99,97.76,95.9,,
,,0.5,,16.97,8.52,539.51,7.99,97.78,97.3,,
,,1,,16.97,8.51,539.7,7.98,97.78,98.2,,
,,1.5,,16.97,8.5,539.59,7.98,97.74,99.1,,
,,2,,16.96,8.49,539.56,7.98,97.67,100.5,,
,,2.5,,16.97,8.46,539.38,7.96,97.41,103.4,,
,,3,,16.95,8.37,539.18,7.9,96.72,108,,
,,4,,16.94,8.38,539.15,7.89,96.53,107.8,,
,,5,,16.92,8.23,539.31,7.86,96.14,118.6,,
,,6,,16.92,8.18,539.04,7.84,95.93,121.6,,
,,7,,16.8,8.29,545.31,7.8,95.21,116,,
,,8,,16.65,8.38,555.07,7.72,93.95,110.5,,
,,9,,16.45,8.43,566.73,7.34,88.94,107.6,,
,,10,,16.19,8.41,578.69,6.87,82.6,79.3,,
,,,,,,,,,,,
,10/13/2020,0,1000,12.74,8.64,546.02,9.49,107.12,147.4,,
,,0.5,,13.5,8.62,575.21,9.23,104.88,150,,
,,1,,13.53,8.62,575.01,9.18,104.42,150.8,,
,,1.5,,13.56,8.6,574.64,9.14,103.9,152.9,,
,,2,,13.58,8.59,574.33,9.16,104.35,152.2,,
,,2.5,,13.57,8.53,574.48,9.12,103.98,156.9,,
,,3,,13.58,8.5,574.46,9.1,103.63,158.6,,
,,4,,13.57,8.5,574.49,9.1,103.67,161.1,,
,,5,,13.56,8.37,574.73,9.1,103.63,168.6,,
,,6,,13.56,8.34,574.88,9.09,103.48,169.3,,
