"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/downloadall?filename=RISE%20Time%20Series%20Query%20Package%20%282024-04-01%29&order=ASC&query%5B0%5D=itemId.195.before.2023-12-31.after.1980-01-01.order.ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2024-04-01","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Boysen Reservoir Dam and Powerplant","WY","(-108.1769, 43.4)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","830259","af","daily","instant","1980-06-28 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","828849","af","daily","instant","1980-06-29 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","827035","af","daily","instant","1980-06-30 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","827438","af","daily","instant","1980-07-01 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","830461","af","daily","instant","1980-07-02 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","833886","af","daily","instant","1980-07-03 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","838318","af","daily","instant","1980-07-04 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","839930","af","daily","instant","1980-07-05 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","839326","af","daily","instant","1980-07-06 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","836102","af","daily","instant","1980-07-07 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","829655","af","daily","instant","1980-07-08 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","824618","af","daily","instant","1980-07-09 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","818234","af","daily","instant","1980-07-10 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","814671","af","daily","instant","1980-07-11 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Storage","810911","af","daily","instant","1980-07-12 06:00:00"
