"","WaterbodyName","Latitude","Longitude","Year","DrainageArea_ha","month","TN_load_kg","TP_load_kg","NH4_load_kg","NO3_load_kg","PO4_load_kg","TN_flux_kg_ha","TP_flux_kg_ha","NH4_flux_kg_ha","NO3_flux_kg_ha","PO4_flux_kg_ha","TotalTrib_TN_kg","TotalTrib_TP_kg","TotalTrib_NH4_kg","TotalTrib_NO3_kg","TotalTrib_PO4_kg"
"63","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Jun",23119.7719191043,4816.6191498134,NA,10095.6337380089,2273.44423871193,0.213554720815962,0.0444905668366586,NA,0.0932522280896365,0.0209995475469029,147995.632240238,60723.64287938,NA,23436.608345404,9087.24317097202
"64","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Jul",23079.7309480387,3077.29745973849,NA,11174.4364006754,1634.81427548608,0.213184866890627,0.0284246489187503,NA,0.103217006386212,0.0151005947380861,NA,28010.2004056896,NA,NA,2541.29336954745
"65","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Aug",31544.0273495598,6308.80546991196,727.939092682149,12277.9060299056,1625.73064032347,0.291368616334831,0.0582737232669661,0.0067238911461884,0.113409630665711,0.0150166902264874,51731.9984070244,11105.4881530167,NA,16101.3895505075,2157.48913930189
"66","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Sep",20434.0245850572,2786.45789796235,NA,9845.4845728003,835.937369388704,0.188746776165318,0.0257381967498161,NA,0.0909416285160168,0.00772145902494483,NA,4843.9920826411,NA,NA,NA
"67","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Oct",15021.6055479746,281.655104024524,187.770069349683,10045.698710208,NA,0.138752873091903,0.00260161637047317,0.00173441091364878,0.0927909838802098,NA,42473.5752836712,5841.34009562516,NA,14363.0789669682,NA
"68","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Nov",10203.2700136101,204.065400272203,NA,6611.71896881936,NA,0.0942464522050872,0.00188492904410174,NA,0.0610717010288965,NA,21142.5134799779,993.65631386938,NA,9028.60456916016,NA
"69","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Dec",9168.30213200156,87.3171631619196,NA,7160.00737927741,NA,0.0846865708280668,0.000806538769791112,NA,0.0661361791228712,NA,21825.8100106211,NA,NA,13872.8514528887,NA
"70","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Jan",6519.52468095153,102.939863383445,240.193014561372,4838.17357902193,37.7446165739299,0.0602201128092838,0.000950843886462376,0.00221863573507888,0.0446896626637317,0.000348642758369538,25185.0290340836,NA,NA,12123.6856372655,NA
"71","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Feb",5975.12728169204,298.756364084602,209.129454859222,3734.45455105753,29.8756364084602,0.0551915755460884,0.00275957877730442,0.00193170514411309,0.0344947347163052,0.000275957877730442,25621.4823916449,NA,NA,12128.5135903832,NA
"72","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Mar",6633.93431410425,390.231430241427,156.092572096571,4136.45316055912,46.8277716289712,0.0612769016630872,0.00360452362724042,0.00144180945089617,0.0382079504487485,0.000432542835268851,31870.8629761518,3836.24213913411,NA,10600.9268835002,NA
"73","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Apr",9123.28564618602,1197.43124106192,285.102676443313,3147.53354793418,57.0205352886626,0.0842707586351918,0.0110605370708689,0.00263346120734974,0.0290734117291412,0.000526692241469948,21944.4151437636,3827.90782385449,NA,5061.63634281823,NA
"74","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"May",7678.16827175079,1181.25665719243,NA,1860.47923507808,221.48562322358,0.0709223727374572,0.0109111342673011,NA,0.0171850364709992,0.00204583767511896,NA,8143.6373587751,NA,NA,520.039313328225
"75","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Jun",20097.8596682643,5481.23445498117,NA,7978.24126225036,1583.467731439,0.185641658813597,0.0506295433127992,NA,0.0736941130441855,0.0146263125125864,NA,38801.1285624343,NA,NA,6888.6561518071
"76","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Jul",25098.8233199387,5019.76466398774,NA,10701.2255791375,2121.99142614027,0.231834994984081,0.0463669989968163,NA,0.0988460114977583,0.0196005950304723,NA,8923.72573535591,NA,NA,3491.77696269161
"77","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Aug",26348.303262364,6060.10975034373,526.966065247281,12199.2644104746,1607.24649900421,0.243376300028241,0.0559765490064955,0.00486752600056482,0.112683226913076,0.0148459543017227,46281.8893255946,11517.9533646736,NA,17434.1403095224,2449.64323559575
"78","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Sep",27575.3461778373,3008.2195830368,NA,10578.9055336794,1378.76730889187,0.2547103567897,0.0277865843770582,NA,0.0977161550593212,0.012735517839485,NA,4611.33827721808,NA,NA,1552.26829329367
