"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2020-01-01&before=2024-03-20&filename=Boysen%20Reservoir%20Dam%20and%20Powerplant%20Observed%20Daily%20Average%20Lake%2FReservoir%20Release%20-%20Total%20cfs%20%282020-01-01%20-%202024-03-19%29&itemId=199&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2024-03-20","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Boysen Reservoir Dam and Powerplant","WY","(-108.1769, 43.4)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1056.67","cfs","daily","average","2020-03-15 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1052.1","cfs","daily","average","2020-03-16 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1052.1","cfs","daily","average","2020-03-16 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1046.26","cfs","daily","average","2020-03-17 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1046.25","cfs","daily","average","2020-03-17 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1058.11","cfs","daily","average","2020-03-18 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1058.11","cfs","daily","average","2020-03-18 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1047.46","cfs","daily","average","2020-03-19 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1047.46","cfs","daily","average","2020-03-19 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1050.19","cfs","daily","average","2020-03-20 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1050.2","cfs","daily","average","2020-03-20 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1046.82","cfs","daily","average","2020-03-21 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1046.82","cfs","daily","average","2020-03-21 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1045.03","cfs","daily","average","2020-03-22 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1045.03","cfs","daily","average","2020-03-22 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.8","cfs","daily","average","2020-03-23 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","1051.8","cfs","daily","average","2020-03-23 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","3584.48","cfs","daily","average","2020-03-24 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","3584.48","cfs","daily","average","2020-03-24 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","2394.54","cfs","daily","average","2020-03-25 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","2394.54","cfs","daily","average","2020-03-25 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","2394.98","cfs","daily","average","2020-03-26 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","2394.98","cfs","daily","average","2020-03-26 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","2390.81","cfs","daily","average","2020-03-27 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","2390.81","cfs","daily","average","2020-03-27 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","2390.37","cfs","daily","average","2020-03-28 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","2390.37","cfs","daily","average","2020-03-28 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","2385.22","cfs","daily","average","2020-03-29 06:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","2385.22","cfs","daily","average","2020-03-29 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","2384.33","cfs","daily","average","2020-03-30 06:00:00"
